Price     Shane                       72        M         Y
Vasquez   Leslie                      60        F         Y
Smith     Timothy                     44        M         Y
Quinn     Adam                        33        M         N
Thomas    Tom                         49        M         N
Perez     Monica                      34        F         Y
Castillo  Steven                      41        M         N
Pierce    Crystal                     82        F         N
Ruiz      Kenneth                     54        M         Y
Price     Matthew                     40        M         N
Barnett   Jaime                       48        F         N
Welch     Stephanie                   81        F         Y
George    Cheryl                      42        F         N
Hunter    Charles                     55        M         Y
Hayes     John                        38        M         N
Taylor    Kevin                       13        M         N
Murray    Mark                        74        M         Y
Hansen    David                       70        M         N
Charles   Amanda                      25        F         Y
Padilla   Jessica                     42        F         Y
Murray    Alexandra                   57        M         N
Flowers   William                     73        M         Y
Jones     Kayla                       68        F         N
Fernandez Janice                      72        F         Y
Higgins   Faith                       44        F         Y
Schmidt   Joshua                      61        M         Y
Barron    Amanda                      50        F         N
White     Susan                       45        M         N
Moore     James                       12        M         Y
Delacruz  Michael                     86        M         N
Phillips  Sally                       15        F         N
Ball      Charles                     23        M         Y
Mendez    Brittney                    75        M         N
Rogers    Karen                       68        F         N
Walls     Christian                   76        M         Y
Briggs    Kristen                     32        F         N
Jones     David                       18        M         Y
Sims      Jeremy                      11        M         N
Hull      Tina                        44        F         N
Shaw      Sabrina                     40        F         Y
White     Douglas                     39        M         N
Watson    Brittany                    37        F         Y
Henderson Sonya                       35        F         Y
Harris    Steven                      70        M         N
Santos    Shannon                     39        F         Y
Edwards   Jonathon                    75        M         N
Hill      Sandra                      62        F         Y
Walker    Christian                   33        M         Y
Delgado   Anna                        35        M         Y
Martinez  Amanda                      28        M         N
Justin    Jude                        43        M         N
Kennedy   Christine                   51        M         Y
Sanchez   Ryan                        20        M         N
Buchanan  Madison                     88        M         N
Yu        Jamie                       62        M         Y
Aguirre   Rebecca                     83        F         N
Johnson   James                       81        M         N
Mcguire   Grace                       88        F         Y
Moses     Jodi                        58        F         N
Rivera    Devin                       24        M         Y
Rhodes    Emily                       26        F         N
Alvarez   Erin                        78        F         N
Henderson Alexis                      40        F         Y
Rowland   Michelle                    27        F         N
Monroe    William                     76        M         Y
Ramirez   Ryan                        78        M         Y
Gomez     Troy                        54        M         N
Palmer    Lori                        74        F         Y
Peterson  Melanie                     42        F         N
Hughes    Caitlin                     82        M         Y
Kelly     Kathryn                     19        F         Y
Edwards   Jamie                       10        M         Y
Stewart   Jennifer                    71        F         N
Duncan    Michael                     38        M         N
Norris    Christopher                 56        M         Y
Fisher    Tara                        18        F         N
Williams  Nicole                      11        F         N
Timothy   Tim                         23        M         Y
White     David                       35        M         N
Green     Patrick                     70        M         N
Johnson   Carlos                      78        M         Y
Kathy     Mrs.                        74        F         N
Garcia    Brandon                     58        M         Y
Kennedy   Jose                        31        M         N
Weeks     Frederick                   79        M         N
Bell      Brent                       33        M         Y
Martinez  Margaret                    76        F         N
Garza     Heidi                       34        F         Y
Johnson   Pamela                      71        F         Y
Mcguire   Lisa                        83        F         N
Reynolds  William                     27        M         Y
May       Angela                      81        F         N
Snyder    Christopher                 52        M         Y
Berry     Richard                     19        M         Y
Allen     Troy                        47        M         Y
Davidson  Matthew                     42        M         N
Johnson   Adam                        39        M         N
Pennington Toni                       72        M         Y
Dalton    Susan                       65        F         N
Lee       Katrina                     18        F         N
Krueger   Benjamin                    25        M         Y
Anderson  Melissa                     54        F         Y
Miranda   Kevin                       39        M         N
Williams  Tamara                      49        F         N
Zhang     Julia                       73        F         Y
Atkinson  Vanessa                     12        F         N
Roman     Ricky                       11        M         N
Schroeder Nichole                     81        F         Y
Ramirez   Eric                        76        M         N
Nichols   Shawn                       30        M         N
Johnson   Laura                       13        F         Y
Marshall  Jonathan                    83        M         N
Myers     Heidi                       57        F         Y
Hayes     Ralph                       70        M         N
Carter    Warren                      66        M         N
Henderson Brandy                      65        M         Y
Collins   Christina                   29        F         N
Wells     Lindsey                     67        M         Y
Mcbride   Tom                         55        M         Y
Landry    Robert                      43        M         N
Smith     Joshua                      38        M         Y
York      Michael                     36        M         N
Olsen     Michelle                    39        F         Y
Peterson  Alison                      62        M         Y
Edwards   Emily                       32        F         Y
Morris    Michael                     52        M         N
Jordan    Joel                        32        M         N
Cook      Heidi                       59        F         Y
Carter    Virginia                    35        F         Y
Dixon     Denise                      78        F         Y
Rivers    Terri                       31        N         N
Parker    Austin                      62        M         N
Evans     Michael                     17        M         Y
Mata      Sarah                       28        F         N
Rogers    Rachel                      46        M         N
Thompson  Destiny                     77        F         Y
Jennings  Stephanie                   78        F         N
King      Caleb                       32        M         N
Peterson  Thomas                      82        M         Y
